what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376536880049
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376536891338
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376537047591
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1376537047602
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376537076515
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376537089568
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376537092000
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376537159880
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376537178751
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376537179531
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376537183547
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376537198966
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376537199011
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376537204823
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376537204955
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376537261290
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376537263593
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376537363138
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1376537367555
executed,command,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui.localJavaShortcut.debug",1376537420650
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376537420658
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376537424966
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376537430685
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1376537461834
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376537466201
