what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1376632586262
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376632727981
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376632729037
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376632729334
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376632730974
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1376632745534
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1376632787851
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376632837172
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376632838170
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1376632856694
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376632988776
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376632989047
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376632999725
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376633006080
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376633006992
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1376633027123
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376633068374
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376633068634
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376633531230
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1376633559188
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1376633573791
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1376633574381
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1376633574807
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1376633574984
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1376633575132
