what,kind,bundleId,bundleVersion,description,time
activated,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.SCROView",1363587610961
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1363587626706
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1363587654215
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1363587654294
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1363587660561
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1363587664945
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1363587737508
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1363587738355
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1363587744288
activated,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.DomainOntologyView",1363587749512
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.TypeHierarchy",1363587764449
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1363587766159
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1363587777154
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1363587782993
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1363587792555
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1363587813570
opened,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.AnnotateView",1363587813595
activated,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.AnnotateView",1363587813676
executed,command,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.commands.openExceptionDetailsDialog",1363587813676
activated,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.SearchView",1363587815835
activated,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.AnnotateView",1363587820251
activated,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.SearchView",1363587821248
closed,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.AnnotateView",1363587821250
activated,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.SCROView",1363587822930
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1363587842400
