what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376542527653
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376542530555
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376542555069
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376542562536
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376542571444
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376542581980
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376542587645
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376542697002
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376542705051
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376542749649
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376542763574
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376542788667
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376542893758
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1376542899100
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376542902393
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376542908698
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376542908864
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376542912168
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376542937628
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1376542944060
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1376542945092
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1376542946816
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1376542950211
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376542953024
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376542959507
