what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376535682270
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1376535688159
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376535691521
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376535697324
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1376535697335
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1376535697335
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376535698397
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376535712959
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376535737982
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376535755514
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1376535755520
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1376535755520
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376535758301
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376535863820
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376535867465
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376536494980
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376536498544
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1376536511355
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376536532110
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1376536532154
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376536534640
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376536535637
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376536535641
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376536567736
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376536570526
