what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376634860838
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376634867664
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1376634900175
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1376634901468
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376634904004
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376634959703
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376634962716
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376634982877
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376634983854
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1376634995802
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.selectAll",1376634996833
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1376634997662
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376634998629
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376635053945
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376635056237
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376635262688
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376635264508
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376635283578
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376635284143
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376635287378
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376635288149
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376635496160
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376635498322
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376635534719
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376635535648
