what,kind,bundleId,bundleVersion,description,time
started,bundle,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre",1369201511660
opened,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.DomainOntologyView",1369201511694
activated,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.DomainOntologyView",1369201511732
opened,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.SCROView",1369201511761
activated,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.SCROView",1369201511792
executed,command,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.commands.openResizableDialog",1369201511792
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1369201532761
activated,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.SCROView",1369201532848
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1369201532849
activated,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.DomainOntologyView",1369201537078
activated,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.SCROView",1369201538451
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1369201550929
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1369201560397
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1369201561881
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1369201951123
activated,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.DomainOntologyView",1369201955025
closed,view,edu.cs.uwm.compre,1.0.0,"edu.cs.uwm.compre.views.SCROView",1369201955025
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1369201956039
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1369201957224
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1369201957287
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ant",1369201957505
stopped,bundle,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui",1369201957505
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1369201957505
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1369201957521
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.ui",1369201957521
