what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1376554810677
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1376554812796
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376554868470
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376555003819
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376555006221
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376555130405
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1376555146771
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376555149160
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376555150484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376555150690
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376555153712
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376555154844
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376555155001
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376555163567
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1376555234462
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376555273035
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376555507436
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1376555522955
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376555528421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376555557209
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376555558344
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376555573817
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376555593163
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376555620953
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376555634751
