what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376543022556
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1376543044086
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1376543048011
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376543053832
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376543061873
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376543062029
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376543062084
started,bundle,org.eclipse.jdt.apt.core,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.core",1376543062092
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376543064833
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376543069529
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376543073705
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376543073872
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376543078215
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376543091919
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376543094976
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376543095143
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376543106220
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376543117438
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376543120057
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376543120233
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376543132043
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376543157018
started,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.ui",1376543241201
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376543259525
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376543261046
