what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376539747671
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376539762220
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376539764233
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376539764399
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376539769296
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376539777177
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376539777310
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376539783152
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376539787629
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376539790672
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376539790850
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376539795804
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376539797560
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376539797727
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376539807373
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376539852507
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376539947284
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376539949085
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1376539955285
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376539975968
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376539980438
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376540008270
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1376540093858
started,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1376540093991
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1376540122889
