what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376549282228
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1376549287740
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376549296615
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376549312613
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376549314037
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1376549323613
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376549327500
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376549353804
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376549354835
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1376549362275
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376549439070
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376549443536
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376549444501
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1376549454924
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376549473157
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376549491400
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376549492501
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1376549495659
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376549545448
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1376549570203
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1376549575837
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376549591843
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376549593073
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376549602776
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376549603786
