what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1376627630518
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1376627630518
os,sysinfo,,,"win32",1376627630520
arch,sysinfo,,,"x86",1376627630520
ws,sysinfo,,,"win32",1376627630520
locale,sysinfo,,,"en_US",1376627630520
processors,sysinfo,,,"4",1376627630520
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1376627630520
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1376627630520
java.specification.name,sysinfo,,,"Java Platform API Specification",1376627630520
java.specification.vendor,sysinfo,,,"Oracle Corporation",1376627630520
java.specification.version,sysinfo,,,"1.7",1376627630520
java.vendor,sysinfo,,,"Oracle Corporation",1376627630520
java.version,sysinfo,,,"1.7.0_25",1376627630520
java.vm.info,sysinfo,,,"mixed mode, sharing",1376627630520
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1376627630520
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1376627630520
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1376627630520
java.vm.specification.version,sysinfo,,,"1.7",1376627630520
java.vm.vendor,sysinfo,,,"Oracle Corporation",1376627630520
java.vm.version,sysinfo,,,"23.25-b01",1376627630520
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1376627634722
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1376627637769
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376627640484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376627751830
