what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1376588730994
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376588732202
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376588732378
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1376588737939
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1376588787985
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376588791581
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376588812701
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376588812844
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376588812863
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376588815330
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1376588834745
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1376588837410
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376588840512
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1376588845772
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1376588887181
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376588903226
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376588906418
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376588907277
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376588911051
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376588911098
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1376588913455
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1376588919464
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376588921521
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1376588932809
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1376588934065
