what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1329515118721
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1329515119411
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1329515119751
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1329515120087
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1329515120477
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1329515121846
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1329515122584
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1329515123185
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1329515123353
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1329515123477
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1329515123615
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1329515124124
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1329515124368
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1329515126269
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515177552
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1329515177573
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515190849
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1329515243758
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515244229
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1329515244256
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1329515245491
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515248535
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1329515249534
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515250053
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1329515250272
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515252641
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515348366
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515349335
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515349974
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515390184
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1329515416940
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515417595
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515418275
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1329515418284
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1329515419571
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515432062
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515434028
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1329515444799
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1329515449525
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1329515450441
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1329515451610
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1329515455620
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1329515456065
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1329515495629
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1329515499775
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1329515505008
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515506742
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515516954
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515519050
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515551371
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515572871
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515579489
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1329515584397
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1329515588656
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1329515589353
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515590719
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515592612
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515639312
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515641394
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515646479
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515655890
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515657835
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515661883
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515668158
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515674227
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515691880
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515705602
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1329515723375
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515753607
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515755178
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1329515772575
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1329515777134
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1329515780736
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515782135
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515782259
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1329515783561
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1329515785346
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515800279
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515804401
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1329515846576
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515847816
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515847930
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515853511
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515864741
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1329515915114
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1329515925344
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1329515925582
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1329515925991
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1329515926307
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515941046
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515941759
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1329515947724
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1329515955751
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1329515970976
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1329515986991
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515988373
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329515988467
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1329515999108
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1329516001664
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1329516001860
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1329516003306
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1329516007040
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329516009368
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329516019107
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1329516020490
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329516066490
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1329516066511
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329516081171
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1329516092690
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1329516096311
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1329516096322
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329516098162
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329516107224
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1329516107851
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1329516120170
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329516121573
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329516121738
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329516122485
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329516123511
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1329516127587
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329516129124
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329516153968
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329516154958
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329516170929
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1329516170951
